15.9.2.6. Miskolc idõjárási adatai;;;;;;;;
Év;Hónap;Közép- hõmérséklet, °C;Maximális hõmérséklet, °C;Minimális hõmérséklet, °C;Csapadékos nap ;Lehullott csapadék, mm;A napsütéses órák száma ;Szeles napok száma, szélsebesség>=10 m/s 
Havonta;;;;;;;;
2017.;január;-6,5;4,1;-17,9;6;34;128;6
;február;1,9;18,0;-5,0;9;20;47;4
;március;8,8;24,9;-1,7;5;15;217;9
;április;10,8;25,4;0,2;12;65;202;13
;május;16,6;30,4;2,3;15;67;273;3
;június;21,4;33,6;11,0;11;109;324;6
;július;21,2;33,7;9,9;14;123;329;8
;augusztus;22,5;38,1;8,6;6;33;311;5
;szeptember;15,6;31,7;4,4;12;65;194;5
;október;10,7;23,5;-0,6;7;70;138;6
;november;5,1;15,4;-5,3;15;56;71;1
;december;1,4;10,9;-5,0;18;50;44;3
2018.;január;2,1;11,9;-9,3;12;27;71;3
;február;-0,6;8,9;-12,4;19;89;59;3
;március;2,9;19,3;-13,2;18;61;112;3
;április;15,6;27,8;1,5;11;51;260;8
;május;19,3;31,1;9,9;9;42;329;6
;június;20,6;32,3;8,0;15;117;237;4
;július;22,2;33,1;8,0;16;103;295;4
;augusztus;23,3;33,8;11,0;4;64;311;2
;szeptember;17,4;31,7;2,5;8;14;248;3
;október;12,3;24,4;0,9;10;21;161;4
;november;6,1;22,2;-7,3;8;66;82;3
;december;-0,4;9,5;-10,3;13;36;40;1
2019.;január;-1,3;8,3;-8,9;11;20;59;7
;február;2,4;18,4;-6,9;5;12;113;5
;március;8,6;21,8;-3,6;4;5;216;13
;április;12,6;28,3;1,3;11;50;234;7
;május;14,1;26,8;4,7;22;178;194;5
;június;22,8;36,0;11,3;9;102;338;4
;július;21,4;33,8;9,5;13;82;304;5
;augusztus;22,4;34,5;10,6;10;62;304;3
;szeptember;16,6;31,9;3,9;10;54;238;4
;október;11,8;24,6;-0,4;6;26;180;2
;november;8,2;15,6;-0,8;20;93;54;0
;december;1,9;12,6;-7,6;14;65;62;1
2020.;január;-1,5;7,4;-7,8;4;14;56;2
;február;4,8;15,1;-6,5;13;40;125;11
;március;6,7;21,1;-5,3;9;21;183;11
;április;11,6;24,5;-4,5;4;14;333;6
;május;14,2;27,8;1,0;18;32;255;8
;június;19,9;32,0;6,4;20;192;227;3
;július;21,2;32,6;9,9;12;71;294;4
;augusztus;22,7;34,4;11,9;7;91;320;2
;szeptember;17,3;29,9;6,3;9;41;243;3
;október;11,1;24,2;1,7;16;197;98;2
;november;4,4;15,4;-5,8;12;26;46;0
;december;3,1;12,5;-5,8;14;51;31;1
2021.;január;0,5;10,4;-9,6;16;43;77;2
;február;1,1;14,6;-14,0;10;52;103;1
;március;5,0;21,2;-6,4;5;9;202;5
;április;8,6;25,3;-4,0;17;62;193;9
;május;14,3;28,4;2,2;16;74;264;9
;június;22,2;36,6;7,6;5;7;366;3
;július;24,0;36,1;14,2;10;69;290;3
;augusztus;19,9;33,7;8,2;17;94;259;4
;szeptember;16,1;28,6;6,1;7;14;222;1
;október;9,1;23,8;-1,9;3;26;182;1
;november;4,2;14,1;-5,4;8;68;93;1
;december;0,4;8,9;-9,2;11;49;64;3
Évkezdettõl kumulált;;;;;;;;
2017.;január–december;10,8;38,1;-17,9;130;708;2 276;69
2018.;január–december;11,7;33,8;-13,2;143;691;2 203;44
2019.;január–december;11,8;36,0;-8,9;135;747;2 296;56
2020.;január–december;11,3;34,4;-7,8;138;788;2 210;53
2021.;január–december;10,5;36,6;-14,0;125;566;2 316;42
